"show","theatre","current_week","past_week","week_ending"
"'night, Mother","Royale Theatre",125452,174099,2004-10-24
"'night, Mother","Royale Theatre",174099,178061,2004-10-31
"'night, Mother","Royale Theatre",178061,218636,2004-11-07
"'night, Mother","Royale Theatre",218636,192759,2004-11-14
"'night, Mother","Royale Theatre",192759,153438,2004-11-21
"'night, Mother","Royale Theatre",153438,185345,2004-11-28
"'night, Mother","Royale Theatre",185345,180563,2004-12-05
"'night, Mother","Royale Theatre",180563,160261,2004-12-12
"'night, Mother","Royale Theatre",160261,90995,2004-12-19
"'night, Mother","Royale Theatre",90995,185950,2004-12-26
"'night, Mother","Royale Theatre",185950,165921,2005-01-02
"""Master Harold""...and the Boys","Royale Theatre",148824,191588,2003-05-11
"""Master Harold""...and the Boys","Royale Theatre",191588,181536,2003-05-18
"""Master Harold""...and the Boys","Royale Theatre",181536,166124,2003-05-25
"""Master Harold""...and the Boys","Royale Theatre",166124,233096,2003-06-01
"""Master Harold""...and the Boys","Royale Theatre",233096,247213,2003-06-08
"""Master Harold""...and the Boys","Royale Theatre",247213,272079,2003-06-15
"""Master Harold""...and the Boys","Royale Theatre",272079,279417,2003-06-22
"""Master Harold""...and the Boys","Royale Theatre",279417,247423,2003-06-29
"""Master Harold""...and the Boys","Royale Theatre",247423,308995,2003-07-06
"[title of show]","Lyceum Theatre",69299,163916,2008-07-06
"[title of show]","Lyceum Theatre",163916,154121,2008-07-13
"[title of show]","Lyceum Theatre",154121,162682,2008-07-20
"[title of show]","Lyceum Theatre",162682,178183,2008-07-27
"[title of show]","Lyceum Theatre",178183,157123,2008-08-03
"[title of show]","Lyceum Theatre",157123,162745,2008-08-10
"[title of show]","Lyceum Theatre",162745,149212,2008-08-17
"[title of show]","Lyceum Theatre",149212,164458,2008-08-24
"[title of show]","Lyceum Theatre",164458,106905,2008-08-31
"[title of show]","Lyceum Theatre",106905,107591,2008-09-07
"[title of show]","Lyceum Theatre",107591,121417,2008-09-14
"[title of show]","Lyceum Theatre",121417,124322,2008-09-21
"[title of show]","Lyceum Theatre",124322,148510,2008-09-28
"[title of show]","Lyceum Theatre",148510,217645,2008-10-05
"110 in the Shade","Studio 54",197785,262544,2007-04-15
"110 in the Shade","Studio 54",262544,302978,2007-04-22
"110 in the Shade","Studio 54",302978,203869,2007-04-29
"110 in the Shade","Studio 54",203869,297228,2007-05-06
"110 in the Shade","Studio 54",297228,349113,2007-05-13
"110 in the Shade","Studio 54",349113,351224,2007-05-20
"110 in the Shade","Studio 54",351224,344604,2007-05-27
"110 in the Shade","Studio 54",344604,361440,2007-06-03
"110 in the Shade","Studio 54",361440,361312,2007-06-10
"110 in the Shade","Studio 54",361312,349945,2007-06-17
"110 in the Shade","Studio 54",349945,352681,2007-06-24
"110 in the Shade","Studio 54",352681,338931,2007-07-01
"110 in the Shade","Studio 54",338931,410515,2007-07-08
"110 in the Shade","Studio 54",410515,323984,2007-07-15
"110 in the Shade","Studio 54",323984,361161,2007-07-22
"13","Bernard B. Jacobs Theatre",203326,169415,2008-09-21
"13","Bernard B. Jacobs Theatre",169415,125793,2008-09-28
"13","Bernard B. Jacobs Theatre",125793,271915,2008-10-05
"13","Bernard B. Jacobs Theatre",271915,228202,2008-10-12
"13","Bernard B. Jacobs Theatre",228202,224799,2008-10-19
"13","Bernard B. Jacobs Theatre",224799,198610,2008-10-26
"13","Bernard B. Jacobs Theatre",198610,290271,2008-11-02
"13","Bernard B. Jacobs Theatre",290271,206743,2008-11-09
"13","Bernard B. Jacobs Theatre",206743,224957,2008-11-16
"13","Bernard B. Jacobs Theatre",224957,376634,2008-11-23
"13","Bernard B. Jacobs Theatre",376634,254539,2008-11-30
"13","Bernard B. Jacobs Theatre",254539,268319,2008-12-07
"13","Bernard B. Jacobs Theatre",268319,262235,2008-12-14
"13","Bernard B. Jacobs Theatre",262235,474956,2008-12-21
"13","Bernard B. Jacobs Theatre",474956,655655,2008-12-28
"1776","Gershwin Theatre",150045,174787,1997-07-20
"1776","Gershwin Theatre",174787,171818,1997-07-27
"1776","Gershwin Theatre",171818,162952,1997-08-03
"1776","Gershwin Theatre",162952,150195,1997-08-10
"1776","Gershwin Theatre",150195,169771,1997-08-17
"1776","Gershwin Theatre",169771,188482,1997-08-24
"1776","Gershwin Theatre",188482,169175,1997-08-31
"1776","Gershwin Theatre",169175,170616,1997-09-07
"1776","Gershwin Theatre",170616,164297,1997-09-14
"1776","Gershwin Theatre",164297,181907,1997-09-21
"1776","Gershwin Theatre",181907,190666,1997-09-28
"1776","Gershwin Theatre",190666,190793,1997-10-05
"1776","Gershwin Theatre",190793,186468,1997-10-12
"1776","Gershwin Theatre",186468,201666,1997-10-19
"1776","Gershwin Theatre",201666,213452,1997-10-26
"1776","Gershwin Theatre",213452,216314,1997-11-02
"1776","Gershwin Theatre",216314,215808,1997-11-09
"1776","Gershwin Theatre",363216,362391,1997-12-07
"1776","Gershwin Theatre",362391,381399,1997-12-14
"1776","Gershwin Theatre",381399,587629,1997-12-21
"1776","Gershwin Theatre",587629,537899,1997-12-28
"1776","Gershwin Theatre",537899,366108,1998-01-04
"1776","Gershwin Theatre",366108,421761,1998-01-11
